BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Terany;obec;;;;;;;;;;;;áno;nie;áno;čiastočne;23;78.3;73.9;0.0;30.4;100.0;103;4.7;14.3
Terany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;;;;;13;100.0;100.0;0.0;46.2;100.0;61;4.7;
Terany;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;áno;iná;;;;;10;50.0;40.0;0.0;10.0;100.0;42;4.6;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES LUČENEC;;;;;;;;;;;;;;;;;;;;;;;;;
Ábelová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;10;100.0;100.0;0.0;0.0;100.0;68;6.8;25.2
Belina;obec;;;;;;;;;;;;nie;nie;áno;čiastočne;40;100.0;0.0;0.0;12.5;100.0;240;6.5;37.7
Belina;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;;;;;25;100.0;80.0;0.0;20.0;100.0;180;7.2;
Belina;obec;intravilán;integrované/koncentrované;;;vysporiadané;nie;nie;áno;nie;áno;*;;;;;15;100.0;0.0;0.0;0.0;100.0;60;4.0;
Biskupice;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;áno;nie;áno;áno;56;100.0;1.8;0.0;17.9;98.2;250;4.5;22.5
Boľkovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;5;80.0;40.0;0.0;40.0;100.0;20;4.0;3.0
Bulhary;obec;;;;;;;;;;;;áno;nie;áno;nie;26;100.0;19.2;0.0;0.0;100.0;171;6.6;58.4
Bulhary;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;asfaltová;;;;;15;100.0;20.0;0.0;0.0;100.0;114;7.6;
Bulhary;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;;;;;11;100.0;18.2;0.0;0.0;100.0;57;5.8;
