TRNAVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Prašník ;obec;;;;;;;;;;;;áno;nie;áno;nie;11;54.5;27.3;0.0;0.0;90.9;79;6.2;9.3
Prašník ;obec;extravilán;mimo obce;1500;;nevysporiadané;nie;nie;nie;nie;nie;iná;;;;;1;100.0;0.0;0.0;0.0;0.0;5;2.0;
Prašník ;obec;intravilán;na okraji;;;čiastočne vysporiadané;nie;nie;áno;nie;nie;iná;;;;;7;28.6;0.0;0.0;0.0;100.0;63;7.9;
Prašník ;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;3;100.0;100.0;0.0;0.0;100.0;11;3.7;
Ratnovce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;asfaltová;áno;nie;áno;nie;21;19.0;9.5;0.0;0.0;19.0;84;4.8;9.0
Veľké Kostoľany;obec;intravilán;integrované/rozptýlené;;;*;áno;nie;áno;áno;áno;;áno;nie;áno;áno;12;100.0;41.7;0.0;83.3;100.0;70;5.8;2.7
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES SENICA;;;;;;;;;;;;;;;;;;;;;;;;;
Čáry;obec;;;;;;;;;;;;áno;nie;áno;áno;42;73.8;*;0.0;*;*;229;5.7;18.3
Čáry;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;čiastočne;iná;;;;;22;50.0;68.2;0.0;54.5;100.0;109;5.5;
Čáry;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;20;100.0;*;0.0;*;*;120;6.0;
Jablonica;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;33;97.0;75.8;15.2;97.0;100.0;200;5.7;8.9
Kuklov;obec;;;;;;;;;;;;nie;nie;áno;áno;26;92.3;0.0;0.0;11.5;100.0;235;9.0;26.8
Kuklov;obec;intravilán;mimo obce;1000;cesta;vysporiadané;nie;nie;áno;nie;nie;iná;;;;;7;71.4;0.0;0.0;0.0;100.0;63;9.0;
Kuklov;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;;;;;19;100.0;0.0;0.0;15.8;100.0;172;9.1;
Kúty;obec;;;;;;;;;;;;áno;áno;áno;áno;19;73.7;73.7;0.0;0.0;100.0;171;10.6;4.1
Kúty;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;6;16.7;16.7;0.0;0.0;100.0;51;10.2;
