NITRIANSKY KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Bardoňovo;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;3;100.0;66.7;0.0;66.7;66.7;8;4.7;2.1
Bíňa;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;nie;áno;čiastočne;36;100.0;2.8;0.0;27.8;100.0;142;3.9;9.8
Brúty;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;áno;nie;áno;áno;5;100.0;0.0;0.0;0.0;100.0;41;8.2;5.9
Dolný Ohaj;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;5;60.0;100.0;0.0;40.0;100.0;26;5.2;1.6
Dvory nad Žitavou;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;80;100.0;100.0;0.0;12.5;100.0;756;9.7;14.7
Kamenica nad Hronom;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;čiastočne;áno;;áno;čiastočne;áno;čiastočne;14;100.0;50.0;0.0;7.1;50.0;115;8.2;8.8
Kamenín;obec;intravilán;na okraji;;;nevysporiadané;nie;nie;áno;nie;áno;iná;áno;nie;áno;áno;10;100.0;0.0;0.0;0.0;100.0;172;18.7;10.8
Kamenný Most;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;9;100.0;44.4;0.0;11.1;100.0;49;5.4;4.7
Komjatice;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;čiastočne;áno;áno;66;100.0;45.5;0.0;60.6;90.9;517;7.8;12.2
Lipová;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;čiastočne;áno;áno;3;66.7;33.3;100.0;100.0;100.0;22;1.0;1.4
Ľubá;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;8;100.0;37.5;0.0;12.5;100.0;25;4.0;5.4
